CATEGORY,MEASURE,SHORT_NAME,START_YEAR,END_YEAR,DC_block group,DC_county,DC_tract,MD_block group,MD_county,MD_tract,VA_ahec region,VA_block group,VA_civic association,VA_county,VA_health district,VA_planning district,VA_supervisor district,VA_tract,VA_zip code
food,at_risk_high_cnt,Food Insecure Population Count - High Risk,2022,2022,,,X,,,X,,,,,,,,X,
food,at_risk_low_cnt,Food Insecure Population Count - Low Risk,2022,2022,,,X,,,X,,,,,,,,X,
food,at_risk_medium_cnt,Food Insecure Population Count - Medium Risk,2022,2022,,,X,,,X,,,,,,,,X,
food,food_insecure_cnt,Food Insecure Population Count,2022,2022,,,X,,,X,,,,,,,,X,
food,food_secure_cnt,Food Secure Population Count,2022,2022,,,X,,,X,,,,,,,,X,
food,total_household_cnt,Total Count Of Households,2022,2022,,,X,,,X,,,,,,,,X,
food,at_risk_high_pct,Food Insecure Population Percentage - High Risk,2022,2022,,,X,,,X,,,,,,,,X,
food,at_risk_low_pct,Food Insecure Population Percentage - Low Risk,2022,2022,,,X,,,X,,,,,,,,X,
food,at_risk_medium_pct,Food Insecure Population Percentage - Medium Risk,2022,2022,,,X,,,X,,,,,,,,X,
food,food_insecure_pct,Food Insecure Population Percentage,2022,2022,,,X,,,X,,,,,,,,X,
food,food_secure_pct,Food Secure Households Percentage,2022,2022,,,X,,,X,,,,,,,,X,
food,snap_weighted_mean,Average SNAP Benefit,2022,2022,,,X,,,X,,,,,,,,X,
food,snap_shortfall_weighted_mean,Average SNAP Shortfall,2022,2022,,,,,,,,,,,,,,X,
food,snap_shortfall_weighted_mean_pct,,2022,2022,,,X,,,X,,,,,,,,X,
food,Child_Food_Insecurity_Rate,Percentage of food insecure children,2014,2019,,X,,,X,,,,,X,X,,,,
food,Num_Child_Food_Insecure,Food insecure children (count),2014,2019,,X,,,X,,,,,X,X,,,,
food,Cost_Per_Meal,Average meal cost ($),2014,2019,,X,,,X,,,,,X,X,,,,
food,weighted_budget_shortfall,,2014,2019,,X,,,X,,,,,X,X,,,,
food,number_food_insecure,Food Insecure Population Count (Feeding America),2014,2020,,,,,,,,,,,,,,,
food,percent_food_insecure,Food Insecure Population Percentage (Feeding America),2014,2020,,,,,,,,,,,,,,,
food,food_access_percentage,Food Access,2015,2019,,,,,,,,,,,,,,X,
food,mrfei,Retail food environment index,2023,2023,X,X,X,X,X,X,,X,X,X,,,,,
food,hh_received_snap_cnt,Count of Households That Received SNAP,2013,2020,X,X,X,X,X,X,,X,,X,X,,,X,
food,hh_received_snap_pct,Percentage of Households That Received SNAP,2013,2020,X,X,X,X,X,X,,X,,X,X,,,X,
food,population,Count of Households,2013,2020,X,X,X,X,X,X,,X,,X,X,,,X,
broadband,devices,Number of devices,2019,2021,X,X,X,X,X,X,,X,,X,X,,,,
broadband,perc_w_int_25_3_using_devices,Percent Good (internet-connected),2019.0,2021.0,X,X,X,X,X,X,,X,,X,X,,,,
broadband,perc_total_100_20_using_devices,Percent Fast (total),2019.0,2021.0,X,X,X,X,X,X,,X,,X,X,,,,
broadband,perc_total_25_3_using_devices,Percent Good (total),2019.0,2021.0,X,X,X,X,X,X,,X,,X,X,,,,
broadband,avg_down_using_devices,Average Download Speed,2019,2021,X,X,X,X,X,X,,X,,X,,,,X,
broadband,avg_up_using_devices,Average Upload Speed,2019,2021,X,X,X,X,X,X,,X,,X,,,,X,
broadband,perc_w_int_100_20_using_devices,Percent Fast (internet-connected),2019.0,2021.0,X,X,X,X,X,X,,X,,X,X,,,,
broadband,num_hh_without_compdev,,2017,2021,X,X,X,X,X,X,,X,,X,X,,,X,
broadband,perc_hh_without_compdev,Households without a computer,2017,2021,X,X,X,X,X,X,,X,,X,X,,,X,
broadband,num_hh,,2017,2021,X,X,X,X,X,X,,X,,X,X,,,X,
broadband,num_hh_without_internet,,2017,2021,X,X,X,X,X,X,,X,,X,X,,,X,
broadband,num_hh_with_broadband,,2017,2021,X,X,X,X,X,X,,X,,X,X,,,X,
broadband,num_hh_with_cable_fiber_dsl,,2017,2021,X,X,X,X,X,X,,X,,X,X,,,X,
broadband,perc_hh_without_internet,Households without internet access,2017,2021,X,X,X,X,X,X,,X,,X,X,,,X,
broadband,perc_hh_with_broadband,Households with broadband,2017,2021,X,X,X,X,X,X,,X,,X,X,,,X,
