"geoid","measure","value","year"
51059415100,"at_risk_high_cnt",49,2022
51059415100,"at_risk_low_cnt",16,2022
51059415100,"at_risk_medium_cnt",19,2022
51059415100,"food_insecure_cnt",120,2022
51059415100,"food_secure_cnt",914,2022
51059415100,"total_household_cnt",1119,2022
51059415100,"at_risk_high_pct",4.38,2022
51059415100,"at_risk_low_pct",1.43,2022
51059415100,"at_risk_medium_pct",1.7,2022
51059415100,"food_insecure_pct",10.72,2022
51059415100,"food_secure_pct",81.68,2022
51059415200,"at_risk_high_cnt",51,2022
51059415200,"at_risk_low_cnt",7,2022
51059415200,"at_risk_medium_cnt",2,2022
51059415200,"food_insecure_cnt",390,2022
51059415200,"food_secure_cnt",1226,2022
51059415200,"total_household_cnt",1676,2022
51059415200,"at_risk_high_pct",3.04,2022
51059415200,"at_risk_low_pct",0.42,2022
51059415200,"at_risk_medium_pct",0.12,2022
51059415200,"food_insecure_pct",23.27,2022
51059415200,"food_secure_pct",73.15,2022
51059415300,"at_risk_high_cnt",14,2022
51059415300,"at_risk_low_cnt",24,2022
51059415300,"at_risk_medium_cnt",99,2022
51059415300,"food_insecure_cnt",256,2022
51059415300,"food_secure_cnt",1308,2022
51059415300,"total_household_cnt",1700,2022
51059415300,"at_risk_high_pct",0.82,2022
51059415300,"at_risk_low_pct",1.41,2022
51059415300,"at_risk_medium_pct",5.82,2022
51059415300,"food_insecure_pct",15.06,2022
51059415300,"food_secure_pct",76.94,2022
51059415401,"at_risk_high_cnt",137,2022
51059415401,"at_risk_low_cnt",46,2022
51059415401,"at_risk_medium_cnt",25,2022
51059415401,"food_insecure_cnt",774,2022
51059415401,"food_secure_cnt",796,2022
51059415401,"total_household_cnt",1779,2022
51059415401,"at_risk_high_pct",7.7,2022
51059415401,"at_risk_low_pct",2.59,2022
51059415401,"at_risk_medium_pct",1.41,2022
51059415401,"food_insecure_pct",43.51,2022
51059415401,"food_secure_pct",44.74,2022
51059415402,"at_risk_high_cnt",18,2022
51059415402,"at_risk_low_cnt",4,2022
51059415402,"at_risk_medium_cnt",38,2022
51059415402,"food_insecure_cnt",174,2022
51059415402,"food_secure_cnt",877,2022
51059415402,"total_household_cnt",1112,2022
51059415402,"at_risk_high_pct",1.62,2022
51059415402,"at_risk_low_pct",0.36,2022
51059415402,"at_risk_medium_pct",3.42,2022
51059415402,"food_insecure_pct",15.65,2022
51059415402,"food_secure_pct",78.87,2022
51059415500,"at_risk_high_cnt",62,2022
51059415500,"at_risk_low_cnt",14,2022
51059415500,"at_risk_medium_cnt",24,2022
51059415500,"food_insecure_cnt",717,2022
51059415500,"food_secure_cnt",1517,2022
51059415500,"total_household_cnt",2334,2022
51059415500,"at_risk_high_pct",2.66,2022
51059415500,"at_risk_low_pct",0.6,2022
51059415500,"at_risk_medium_pct",1.03,2022
51059415500,"food_insecure_pct",30.72,2022
51059415500,"food_secure_pct",65,2022
51059415600,"at_risk_high_cnt",4,2022
51059415600,"at_risk_low_cnt",14,2022
51059415600,"at_risk_medium_cnt",12,2022
51059415600,"food_insecure_cnt",111,2022
51059415600,"food_secure_cnt",881,2022
51059415600,"total_household_cnt",1023,2022
51059415600,"at_risk_high_pct",0.39,2022
51059415600,"at_risk_low_pct",1.37,2022
51059415600,"at_risk_medium_pct",1.17,2022
51059415600,"food_insecure_pct",10.85,2022
51059415600,"food_secure_pct",86.12,2022
51059415700,"at_risk_high_cnt",26,2022
51059415700,"at_risk_low_cnt",21,2022
51059415700,"at_risk_medium_cnt",29,2022
51059415700,"food_insecure_cnt",122,2022
51059415700,"food_secure_cnt",1066,2022
51059415700,"total_household_cnt",1264,2022
51059415700,"at_risk_high_pct",2.06,2022
51059415700,"at_risk_low_pct",1.66,2022
51059415700,"at_risk_medium_pct",2.29,2022
51059415700,"food_insecure_pct",9.65,2022
51059415700,"food_secure_pct",84.34,2022
51059415800,"at_risk_high_cnt",24,2022
51059415800,"at_risk_low_cnt",39,2022
51059415800,"at_risk_medium_cnt",60,2022
51059415800,"food_insecure_cnt",261,2022
51059415800,"food_secure_cnt",1388,2022
51059415800,"total_household_cnt",1773,2022
51059415800,"at_risk_high_pct",1.35,2022
51059415800,"at_risk_low_pct",2.2,2022
51059415800,"at_risk_medium_pct",3.38,2022
51059415800,"food_insecure_pct",14.72,2022
51059415800,"food_secure_pct",78.29,2022
51059415900,"at_risk_high_cnt",21,2022
51059415900,"at_risk_low_cnt",9,2022
51059415900,"at_risk_medium_cnt",19,2022
51059415900,"food_insecure_cnt",106,2022
51059415900,"food_secure_cnt",1038,2022
51059415900,"total_household_cnt",1193,2022
51059415900,"at_risk_high_pct",1.76,2022
51059415900,"at_risk_low_pct",0.75,2022
51059415900,"at_risk_medium_pct",1.59,2022
51059415900,"food_insecure_pct",8.89,2022
51059415900,"food_secure_pct",87.01,2022
51059416000,"at_risk_high_cnt",51,2022
51059416000,"at_risk_low_cnt",22,2022
51059416000,"at_risk_medium_cnt",83,2022
51059416000,"food_insecure_cnt",710,2022
51059416000,"food_secure_cnt",1304,2022
51059416000,"total_household_cnt",2169,2022
51059416000,"at_risk_high_pct",2.35,2022
51059416000,"at_risk_low_pct",1.01,2022
51059416000,"at_risk_medium_pct",3.83,2022
51059416000,"food_insecure_pct",32.73,2022
51059416000,"food_secure_pct",60.12,2022
51059416100,"at_risk_high_cnt",24,2022
51059416100,"at_risk_low_cnt",8,2022
51059416100,"at_risk_medium_cnt",69,2022
51059416100,"food_insecure_cnt",247,2022
51059416100,"food_secure_cnt",1095,2022
51059416100,"total_household_cnt",1443,2022
51059416100,"at_risk_high_pct",1.66,2022
51059416100,"at_risk_low_pct",0.55,2022
51059416100,"at_risk_medium_pct",4.78,2022
51059416100,"food_insecure_pct",17.12,2022
51059416100,"food_secure_pct",75.88,2022
51059416200,"at_risk_high_cnt",71,2022
51059416200,"at_risk_low_cnt",57,2022
