"geoid","measure","value","region_type","year","measure_type"
"51059415100","At-Risk High households",17,"tract",2022,"count"
"51059415100","At-Risk Low households",73,"tract",2022,"count"
"51059415100","At-Risk Medium households",32,"tract",2022,"count"
"51059415100","Food Insecure households",88,"tract",2022,"count"
"51059415100","Food Secure households",909,"tract",2022,"count"
"51059415100","Total households",1119,"tract",2022,"count"
"51059415100","At-Risk High proportion",0.0149066188741762,"tract",2022,"proportion"
"51059415100","At-Risk Low proportion",0.0656874915083764,"tract",2022,"proportion"
"51059415100","At-Risk Medium proportion",0.0289457479540211,"tract",2022,"proportion"
"51059415100","Food Insecure proportion",0.0783970064940286,"tract",2022,"proportion"
"51059415100","Food Secure proportion",0.812063135169398,"tract",2022,"proportion"
"51059415200","At-Risk High households",26,"tract",2022,"count"
"51059415200","At-Risk Low households",59,"tract",2022,"count"
"51059415200","At-Risk Medium households",159,"tract",2022,"count"
"51059415200","Food Insecure households",213,"tract",2022,"count"
"51059415200","Food Secure households",1219,"tract",2022,"count"
"51059415200","Total households",1676,"tract",2022,"count"
"51059415200","At-Risk High proportion",0.0153076426263613,"tract",2022,"proportion"
"51059415200","At-Risk Low proportion",0.0353730832760142,"tract",2022,"proportion"
"51059415200","At-Risk Medium proportion",0.0946094923713209,"tract",2022,"proportion"
"51059415200","Food Insecure proportion",0.127163613711591,"tract",2022,"proportion"
"51059415200","Food Secure proportion",0.727546168014713,"tract",2022,"proportion"
"51059415300","At-Risk High households",58,"tract",2022,"count"
"51059415300","At-Risk Low households",118,"tract",2022,"count"
"51059415300","At-Risk Medium households",118,"tract",2022,"count"
"51059415300","Food Insecure households",173,"tract",2022,"count"
"51059415300","Food Secure households",1233,"tract",2022,"count"
"51059415300","Total households",1700,"tract",2022,"count"
"51059415300","At-Risk High proportion",0.033960369571278,"tract",2022,"proportion"
"51059415300","At-Risk Low proportion",0.069134873450351,"tract",2022,"proportion"
"51059415300","At-Risk Medium proportion",0.0694344386926919,"tract",2022,"proportion"
"51059415300","Food Insecure proportion",0.102014821737282,"tract",2022,"proportion"
"51059415300","Food Secure proportion",0.725455496548397,"tract",2022,"proportion"
"51059415401","At-Risk High households",77,"tract",2022,"count"
"51059415401","At-Risk Low households",222,"tract",2022,"count"
"51059415401","At-Risk Medium households",75,"tract",2022,"count"
"51059415401","Food Insecure households",655,"tract",2022,"count"
"51059415401","Food Secure households",750,"tract",2022,"count"
"51059415401","Total households",1779,"tract",2022,"count"
"51059415401","At-Risk High proportion",0.0434499467769515,"tract",2022,"proportion"
"51059415401","At-Risk Low proportion",0.124736836738182,"tract",2022,"proportion"
"51059415401","At-Risk Medium proportion",0.0420801680309003,"tract",2022,"proportion"
"51059415401","Food Insecure proportion",0.368228109608322,"tract",2022,"proportion"
"51059415401","Food Secure proportion",0.421504938845645,"tract",2022,"proportion"
"51059415402","At-Risk High households",18,"tract",2022,"count"
"51059415402","At-Risk Low households",36,"tract",2022,"count"
"51059415402","At-Risk Medium households",44,"tract",2022,"count"
"51059415402","Food Insecure households",148,"tract",2022,"count"
"51059415402","Food Secure households",866,"tract",2022,"count"
"51059415402","Total households",1112,"tract",2022,"count"
"51059415402","At-Risk High proportion",0.0161863209846413,"tract",2022,"proportion"
"51059415402","At-Risk Low proportion",0.0322383388201293,"tract",2022,"proportion"
"51059415402","At-Risk Medium proportion",0.0391240204058781,"tract",2022,"proportion"
"51059415402","Food Insecure proportion",0.133344622219084,"tract",2022,"proportion"
"51059415402","Food Secure proportion",0.779106697570267,"tract",2022,"proportion"
"51059415500","At-Risk High households",28,"tract",2022,"count"
"51059415500","At-Risk Low households",99,"tract",2022,"count"
"51059415500","At-Risk Medium households",89,"tract",2022,"count"
"51059415500","Food Insecure households",626,"tract",2022,"count"
"51059415500","Food Secure households",1492,"tract",2022,"count"
"51059415500","Total households",2334,"tract",2022,"count"
"51059415500","At-Risk High proportion",0.0119882734778847,"tract",2022,"proportion"
"51059415500","At-Risk Low proportion",0.0423161272483652,"tract",2022,"proportion"
"51059415500","At-Risk Medium proportion",0.0381198274843652,"tract",2022,"proportion"
"51059415500","Food Insecure proportion",0.268425103953358,"tract",2022,"proportion"
"51059415500","Food Secure proportion",0.639150667836027,"tract",2022,"proportion"
"51059415600","At-Risk High households",12,"tract",2022,"count"
"51059415600","At-Risk Low households",43,"tract",2022,"count"
"51059415600","At-Risk Medium households",20,"tract",2022,"count"
"51059415600","Food Insecure households",93,"tract",2022,"count"
"51059415600","Food Secure households",854,"tract",2022,"count"
"51059415600","Total households",1023,"tract",2022,"count"
"51059415600","At-Risk High proportion",0.0117770059407973,"tract",2022,"proportion"
"51059415600","At-Risk Low proportion",0.042210460189399,"tract",2022,"proportion"
"51059415600","At-Risk Medium proportion",0.0195647395710258,"tract",2022,"proportion"
"51059415600","Food Insecure proportion",0.0912243945922149,"tract",2022,"proportion"
"51059415600","Food Secure proportion",0.835223399706563,"tract",2022,"proportion"
"51059415700","At-Risk High households",31,"tract",2022,"count"
"51059415700","At-Risk Low households",95,"tract",2022,"count"
"51059415700","At-Risk Medium households",58,"tract",2022,"count"
"51059415700","Food Insecure households",73,"tract",2022,"count"
"51059415700","Food Secure households",1007,"tract",2022,"count"
"51059415700","Total households",1264,"tract",2022,"count"
"51059415700","At-Risk High proportion",0.0243586472237497,"tract",2022,"proportion"
"51059415700","At-Risk Low proportion",0.0753123327088884,"tract",2022,"proportion"
"51059415700","At-Risk Medium proportion",0.0456848226022844,"tract",2022,"proportion"
"51059415700","Food Insecure proportion",0.0576152272829566,"tract",2022,"proportion"
"51059415700","Food Secure proportion",0.797028970182121,"tract",2022,"proportion"
"51059415800","At-Risk High households",62,"tract",2022,"count"
"51059415800","At-Risk Low households",79,"tract",2022,"count"
"51059415800","At-Risk Medium households",109,"tract",2022,"count"
"51059415800","Food Insecure households",183,"tract",2022,"count"
"51059415800","Food Secure households",1340,"tract",2022,"count"
"51059415800","Total households",1773,"tract",2022,"count"
"51059415800","At-Risk High proportion",0.0347443194148639,"tract",2022,"proportion"
"51059415800","At-Risk Low proportion",0.0443798814002827,"tract",2022,"proportion"
"51059415800","At-Risk Medium proportion",0.0616418010966732,"tract",2022,"proportion"
"51059415800","Food Insecure proportion",0.103433793607593,"tract",2022,"proportion"
"51059415800","Food Secure proportion",0.755800204480587,"tract",2022,"proportion"
