geoid,region_type,region_name,year,value,measure,measure_type
51059420300,tract,"Census Tract 4203, Fairfax County, Virginia",2019,62.111776424999995,perc_dental_visit,percent
51059421400,tract,"Census Tract 4214, Fairfax County, Virginia",2019,56.941506274999995,perc_dental_visit,percent
51109950100,tract,"Census Tract 9501, Louisa County, Virginia",2019,60.069914749999995,perc_dental_visit,percent
51109950300,tract,"Census Tract 9503, Louisa County, Virginia",2019,60.055865374999996,perc_dental_visit,percent
51109950500,tract,"Census Tract 9505, Louisa County, Virginia",2019,59.80392815,perc_dental_visit,percent
51109950400,tract,"Census Tract 9504, Louisa County, Virginia",2019,64.179453775,perc_dental_visit,percent
51115951400,tract,"Census Tract 9514, Mathews County, Virginia",2019,69.3680294,perc_dental_visit,percent
51115951300,tract,"Census Tract 9513, Mathews County, Virginia",2019,58.927299975000004,perc_dental_visit,percent
51041100600,tract,"Census Tract 1006, Chesterfield County, Virginia",2019,63.037609175,perc_dental_visit,percent
51041100814,tract,"Census Tract 1008.14, Chesterfield County, Virginia",2019,73.07251607500001,perc_dental_visit,percent
51041100902,tract,"Census Tract 1009.02, Chesterfield County, Virginia",2019,77.825098425,perc_dental_visit,percent
51041100921,tract,"Census Tract 1009.21, Chesterfield County, Virginia",2019,71.211911725,perc_dental_visit,percent
51041100915,tract,"Census Tract 1009.15, Chesterfield County, Virginia",2019,72.748261125,perc_dental_visit,percent
51041100919,tract,"Census Tract 1009.19, Chesterfield County, Virginia",2019,70.479019875,perc_dental_visit,percent
51041100928,tract,"Census Tract 1009.28, Chesterfield County, Virginia",2019,74.41471692500001,perc_dental_visit,percent
51041100106,tract,"Census Tract 1001.06, Chesterfield County, Virginia",2019,74.45168455,perc_dental_visit,percent
51041100107,tract,"Census Tract 1001.07, Chesterfield County, Virginia",2019,71.42567522499999,perc_dental_visit,percent
51041100208,tract,"Census Tract 1002.08, Chesterfield County, Virginia",2019,74.38323017500001,perc_dental_visit,percent
51041100407,tract,"Census Tract 1004.07, Chesterfield County, Virginia",2019,72.545415325,perc_dental_visit,percent
51041100506,tract,"Census Tract 1005.06, Chesterfield County, Virginia",2019,71.3538543,perc_dental_visit,percent
51009010100,tract,"Census Tract 101, Amherst County, Virginia",2019,68.8959479,perc_dental_visit,percent
51013103000,tract,"Census Tract 1030, Arlington County, Virginia",2019,57.690871349999995,perc_dental_visit,percent
51013100300,tract,"Census Tract 1003, Arlington County, Virginia",2019,78.272606125,perc_dental_visit,percent
51013100500,tract,"Census Tract 1005, Arlington County, Virginia",2019,76.797591625,perc_dental_visit,percent
51013100600,tract,"Census Tract 1006, Arlington County, Virginia",2019,74.8712434,perc_dental_visit,percent
51013100900,tract,"Census Tract 1009, Arlington County, Virginia",2019,75.439456325,perc_dental_visit,percent
51750010200,tract,"Census Tract 102, Radford city, Virginia",2019,72.05006392499999,perc_dental_visit,percent
51840000201,tract,"Census Tract 2.01, Winchester city, Virginia",2019,69.2004149,perc_dental_visit,percent
51840000301,tract,"Census Tract 3.01, Winchester city, Virginia",2019,72.868668575,perc_dental_visit,percent
51840000100,tract,"Census Tract 1, Winchester city, Virginia",2019,65.284492325,perc_dental_visit,percent
51840000202,tract,"Census Tract 2.02, Winchester city, Virginia",2019,63.49329025,perc_dental_visit,percent
