"geoid","measure","value","year"
"24017850101","at_risk_high_cnt",45,2022
"24017850101","at_risk_low_cnt",22,2022
"24017850101","at_risk_medium_cnt",124,2022
"24017850101","food_insecure_cnt",698,2022
"24017850101","food_secure_cnt",1478,2022
"24017850101","total_household_cnt",2368,2022
"24017850101","at_risk_high_pct",1.9,2022
"24017850101","at_risk_low_pct",0.93,2022
"24017850101","at_risk_medium_pct",5.24,2022
"24017850101","food_insecure_pct",29.48,2022
"24017850101","food_secure_pct",62.42,2022
"24017850102","at_risk_high_cnt",9,2022
"24017850102","at_risk_low_cnt",13,2022
"24017850102","at_risk_medium_cnt",31,2022
"24017850102","food_insecure_cnt",424,2022
"24017850102","food_secure_cnt",388,2022
"24017850102","total_household_cnt",865,2022
"24017850102","at_risk_high_pct",1.04,2022
"24017850102","at_risk_low_pct",1.5,2022
"24017850102","at_risk_medium_pct",3.58,2022
"24017850102","food_insecure_pct",49.02,2022
"24017850102","food_secure_pct",44.86,2022
"24017850201","at_risk_high_cnt",8,2022
"24017850201","at_risk_low_cnt",6,2022
"24017850201","at_risk_medium_cnt",3,2022
"24017850201","food_insecure_cnt",132,2022
"24017850201","food_secure_cnt",114,2022
"24017850201","total_household_cnt",263,2022
"24017850201","at_risk_high_pct",3.04,2022
"24017850201","at_risk_low_pct",2.28,2022
"24017850201","at_risk_medium_pct",1.14,2022
"24017850201","food_insecure_pct",50.19,2022
"24017850201","food_secure_pct",43.35,2022
"24017850202","at_risk_high_cnt",21,2022
"24017850202","at_risk_low_cnt",220,2022
"24017850202","at_risk_medium_cnt",21,2022
"24017850202","food_insecure_cnt",1079,2022
"24017850202","food_secure_cnt",698,2022
"24017850202","total_household_cnt",2039,2022
"24017850202","at_risk_high_pct",1.03,2022
"24017850202","at_risk_low_pct",10.79,2022
"24017850202","at_risk_medium_pct",1.03,2022
"24017850202","food_insecure_pct",52.92,2022
"24017850202","food_secure_pct",34.23,2022
"24017850300","at_risk_high_cnt",11,2022
"24017850300","at_risk_low_cnt",48,2022
"24017850300","at_risk_medium_cnt",8,2022
"24017850300","food_insecure_cnt",356,2022
"24017850300","food_secure_cnt",316,2022
"24017850300","total_household_cnt",739,2022
"24017850300","at_risk_high_pct",1.49,2022
"24017850300","at_risk_low_pct",6.5,2022
"24017850300","at_risk_medium_pct",1.08,2022
"24017850300","food_insecure_pct",48.17,2022
"24017850300","food_secure_pct",42.76,2022
"24017850400","at_risk_high_cnt",14,2022
"24017850400","at_risk_low_cnt",40,2022
"24017850400","at_risk_medium_cnt",11,2022
"24017850400","food_insecure_cnt",650,2022
"24017850400","food_secure_cnt",535,2022
"24017850400","total_household_cnt",1251,2022
"24017850400","at_risk_high_pct",1.12,2022
"24017850400","at_risk_low_pct",3.2,2022
"24017850400","at_risk_medium_pct",0.88,2022
"24017850400","food_insecure_pct",51.96,2022
"24017850400","food_secure_pct",42.77,2022
"24017850500","at_risk_high_cnt",8,2022
"24017850500","at_risk_low_cnt",27,2022
"24017850500","at_risk_medium_cnt",6,2022
"24017850500","food_insecure_cnt",394,2022
"24017850500","food_secure_cnt",589,2022
"24017850500","total_household_cnt",1024,2022
"24017850500","at_risk_high_pct",0.78,2022
"24017850500","at_risk_low_pct",2.64,2022
"24017850500","at_risk_medium_pct",0.59,2022
"24017850500","food_insecure_pct",38.48,2022
"24017850500","food_secure_pct",57.52,2022
"24017850600","at_risk_high_cnt",20,2022
"24017850600","at_risk_low_cnt",16,2022
"24017850600","at_risk_medium_cnt",62,2022
