"geoid","measure","value","year"
"51510200102","at_risk_high_cnt",19,2022
"51510200102","at_risk_low_cnt",46,2022
"51510200102","at_risk_medium_cnt",2,2022
"51510200102","food_insecure_cnt",854,2022
"51510200102","food_secure_cnt",612,2022
"51510200102","total_household_cnt",1534,2022
"51510200102","at_risk_high_pct",1.24,2022
"51510200102","at_risk_low_pct",3,2022
"51510200102","at_risk_medium_pct",0.13,2022
"51510200102","food_insecure_pct",55.67,2022
"51510200102","food_secure_pct",39.9,2022
"51510200104","at_risk_high_cnt",80,2022
"51510200104","at_risk_low_cnt",87,2022
"51510200104","at_risk_medium_cnt",3,2022
"51510200104","food_insecure_cnt",870,2022
"51510200104","food_secure_cnt",542,2022
"51510200104","total_household_cnt",1582,2022
"51510200104","at_risk_high_pct",5.06,2022
"51510200104","at_risk_low_pct",5.5,2022
"51510200104","at_risk_medium_pct",0.19,2022
"51510200104","food_insecure_pct",54.99,2022
"51510200104","food_secure_pct",34.26,2022
"51510200105","at_risk_high_cnt",272,2022
"51510200105","at_risk_low_cnt",6,2022
"51510200105","at_risk_medium_cnt",8,2022
"51510200105","food_insecure_cnt",1072,2022
"51510200105","food_secure_cnt",830,2022
"51510200105","total_household_cnt",2187,2022
"51510200105","at_risk_high_pct",12.44,2022
"51510200105","at_risk_low_pct",0.27,2022
"51510200105","at_risk_medium_pct",0.37,2022
"51510200105","food_insecure_pct",49.02,2022
"51510200105","food_secure_pct",37.95,2022
"51510200106","at_risk_high_cnt",3,2022
"51510200106","at_risk_low_cnt",50,2022
"51510200106","at_risk_medium_cnt",1,2022
"51510200106","food_insecure_cnt",590,2022
"51510200106","food_secure_cnt",723,2022
"51510200106","total_household_cnt",1368,2022
"51510200106","at_risk_high_pct",0.22,2022
"51510200106","at_risk_low_pct",3.65,2022
"51510200106","at_risk_medium_pct",0.07,2022
"51510200106","food_insecure_pct",43.13,2022
"51510200106","food_secure_pct",52.85,2022
"51510200108","at_risk_high_cnt",0,2022
"51510200108","at_risk_low_cnt",1,2022
"51510200108","at_risk_medium_cnt",55,2022
"51510200108","food_insecure_cnt",298,2022
"51510200108","food_secure_cnt",388,2022
"51510200108","total_household_cnt",741,2022
"51510200108","at_risk_high_pct",0,2022
"51510200108","at_risk_low_pct",0.13,2022
"51510200108","at_risk_medium_pct",7.42,2022
"51510200108","food_insecure_pct",40.22,2022
"51510200108","food_secure_pct",52.36,2022
"51510200109","at_risk_high_cnt",3,2022
"51510200109","at_risk_low_cnt",16,2022
"51510200109","at_risk_medium_cnt",123,2022
"51510200109","food_insecure_cnt",1109,2022
"51510200109","food_secure_cnt",722,2022
"51510200109","total_household_cnt",1973,2022
"51510200109","at_risk_high_pct",0.15,2022
"51510200109","at_risk_low_pct",0.81,2022
"51510200109","at_risk_medium_pct",6.23,2022
"51510200109","food_insecure_pct",56.21,2022
"51510200109","food_secure_pct",36.59,2022
"51510200110","at_risk_high_cnt",0,2022
"51510200110","at_risk_low_cnt",1,2022
"51510200110","at_risk_medium_cnt",71,2022
"51510200110","food_insecure_cnt",422,2022
"51510200110","food_secure_cnt",1147,2022
"51510200110","total_household_cnt",1641,2022
"51510200110","at_risk_high_pct",0,2022
"51510200110","at_risk_low_pct",0.06,2022
"51510200110","at_risk_medium_pct",4.33,2022
"51510200110","food_insecure_pct",25.72,2022
"51510200110","food_secure_pct",69.9,2022
"51510200111","at_risk_high_cnt",2,2022
"51510200111","at_risk_low_cnt",7,2022
"51510200111","at_risk_medium_cnt",152,2022
"51510200111","food_insecure_cnt",613,2022
"51510200111","food_secure_cnt",1197,2022
"51510200111","total_household_cnt",1971,2022
"51510200111","at_risk_high_pct",0.1,2022
"51510200111","at_risk_low_pct",0.36,2022
"51510200111","at_risk_medium_pct",7.71,2022
