geoid,measure,measure_type,region_name,region_type,value,year,moe
51001090100,health_opportunity_indicator,index,"Census Tract 901, Accomack County, Virginia",tract,1,2017,""
51001090200,health_opportunity_indicator,index,"Census Tract 902, Accomack County, Virginia",tract,2,2017,""
51001090300,health_opportunity_indicator,index,"Census Tract 903, Accomack County, Virginia",tract,2,2017,""
51001090400,health_opportunity_indicator,index,"Census Tract 904, Accomack County, Virginia",tract,2,2017,""
51001090500,health_opportunity_indicator,index,"Census Tract 905, Accomack County, Virginia",tract,2,2017,""
51001090600,health_opportunity_indicator,index,"Census Tract 906, Accomack County, Virginia",tract,2,2017,""
51001090700,health_opportunity_indicator,index,"Census Tract 907, Accomack County, Virginia",tract,2,2017,""
51001090800,health_opportunity_indicator,index,"Census Tract 908, Accomack County, Virginia",tract,1,2017,""
51001980200,health_opportunity_indicator,index,"Census Tract 9802, Accomack County, Virginia",tract,3,2017,""
51003010100,health_opportunity_indicator,index,"Census Tract 101, Albemarle County, Virginia",tract,5,2017,""
51003010201,health_opportunity_indicator,index,"Census Tract 102.01, Albemarle County, Virginia",tract,5,2017,""
51003010202,health_opportunity_indicator,index,"Census Tract 102.02, Albemarle County, Virginia",tract,5,2017,""
51003010300,health_opportunity_indicator,index,"Census Tract 103, Albemarle County, Virginia",tract,5,2017,""
51003010401,health_opportunity_indicator,index,"Census Tract 104.01, Albemarle County, Virginia",tract,3,2017,""
51003010402,health_opportunity_indicator,index,"Census Tract 104.02, Albemarle County, Virginia",tract,4,2017,""
51003010500,health_opportunity_indicator,index,"Census Tract 105, Albemarle County, Virginia",tract,2,2017,""
51003010601,health_opportunity_indicator,index,"Census Tract 106.01, Albemarle County, Virginia",tract,2,2017,""
51003010602,health_opportunity_indicator,index,"Census Tract 106.02, Albemarle County, Virginia",tract,5,2017,""
51003010700,health_opportunity_indicator,index,"Census Tract 107, Albemarle County, Virginia",tract,3,2017,""
51003010800,health_opportunity_indicator,index,"Census Tract 108, Albemarle County, Virginia",tract,2,2017,""
51003010901,health_opportunity_indicator,index,"Census Tract 109.01, Albemarle County, Virginia",tract,1,2017,""
51003010902,health_opportunity_indicator,index,"Census Tract 109.02, Albemarle County, Virginia",tract,1,2017,""
51003010903,health_opportunity_indicator,index,"Census Tract 109.03, Albemarle County, Virginia",tract,1,2017,""
51003011000,health_opportunity_indicator,index,"Census Tract 110, Albemarle County, Virginia",tract,5,2017,""
51003011100,health_opportunity_indicator,index,"Census Tract 111, Albemarle County, Virginia",tract,5,2017,""
51003011201,health_opportunity_indicator,index,"Census Tract 112.01, Albemarle County, Virginia",tract,5,2017,""
51003011202,health_opportunity_indicator,index,"Census Tract 112.02, Albemarle County, Virginia",tract,4,2017,""
51003011301,health_opportunity_indicator,index,"Census Tract 113.01, Albemarle County, Virginia",tract,4,2017,""
51003011302,health_opportunity_indicator,index,"Census Tract 113.02, Albemarle County, Virginia",tract,2,2017,""
51003011303,health_opportunity_indicator,index,"Census Tract 113.03, Albemarle County, Virginia",tract,4,2017,""
51003011400,health_opportunity_indicator,index,"Census Tract 114, Albemarle County, Virginia",tract,4,2017,""
51005080100,health_opportunity_indicator,index,"Census Tract 801, Alleghany County, Virginia",tract,3,2017,""
51005080201,health_opportunity_indicator,index,"Census Tract 802.01, Alleghany County, Virginia",tract,2,2017,""
51005080202,health_opportunity_indicator,index,"Census Tract 802.02, Alleghany County, Virginia",tract,4,2017,""
51005080301,health_opportunity_indicator,index,"Census Tract 803.01, Alleghany County, Virginia",tract,2,2017,""
51005080302,health_opportunity_indicator,index,"Census Tract 803.02, Alleghany County, Virginia",tract,3,2017,""
51007930100,health_opportunity_indicator,index,"Census Tract 9301, Amelia County, Virginia",tract,3,2017,""
51007930200,health_opportunity_indicator,index,"Census Tract 9302, Amelia County, Virginia",tract,2,2017,""
51009010100,health_opportunity_indicator,index,"Census Tract 101, Amherst County, Virginia",tract,3,2017,""
51009010200,health_opportunity_indicator,index,"Census Tract 102, Amherst County, Virginia",tract,2,2017,""
51009010300,health_opportunity_indicator,index,"Census Tract 103, Amherst County, Virginia",tract,5,2017,""
51009010401,health_opportunity_indicator,index,"Census Tract 104.01, Amherst County, Virginia",tract,3,2017,""
