geoid,economic_opportunity_quintile,economic_opportunity_level,region_name,region_type
51001090300,1,Very Low,"Census Tract 903, Accomack County, Virginia",tract
51001090500,1,Very Low,"Census Tract 905, Accomack County, Virginia",tract
51001090600,1,Very Low,"Census Tract 906, Accomack County, Virginia",tract
51001090700,1,Very Low,"Census Tract 907, Accomack County, Virginia",tract
51001090800,1,Very Low,"Census Tract 908, Accomack County, Virginia",tract
51001090200,1,Very Low,"Census Tract 902, Accomack County, Virginia",tract
51001090100,1,Very Low,"Census Tract 901, Accomack County, Virginia",tract
51001090400,1,Very Low,"Census Tract 904, Accomack County, Virginia",tract
51001980200,5,Very High,"Census Tract 9802, Accomack County, Virginia",tract
51003011000,1,Very Low,"Census Tract 110, Albemarle County, Virginia",tract
51003010500,1,Very Low,"Census Tract 105, Albemarle County, Virginia",tract
51003010901,1,Very Low,"Census Tract 109.01, Albemarle County, Virginia",tract
51003010800,1,Very Low,"Census Tract 108, Albemarle County, Virginia",tract
51003010903,1,Very Low,"Census Tract 109.03, Albemarle County, Virginia",tract
51003010902,1,Very Low,"Census Tract 109.02, Albemarle County, Virginia",tract
51003011201,1,Very Low,"Census Tract 112.01, Albemarle County, Virginia",tract
51003011202,1,Very Low,"Census Tract 112.02, Albemarle County, Virginia",tract
51003010601,1,Very Low,"Census Tract 106.01, Albemarle County, Virginia",tract
51003010401,1,Very Low,"Census Tract 104.01, Albemarle County, Virginia",tract
51003011400,2,Low,"Census Tract 114, Albemarle County, Virginia",tract
51003010100,2,Low,"Census Tract 101, Albemarle County, Virginia",tract
51003010202,2,Low,"Census Tract 102.02, Albemarle County, Virginia",tract
51003010402,2,Low,"Census Tract 104.02, Albemarle County, Virginia",tract
51003011301,3,Average,"Census Tract 113.01, Albemarle County, Virginia",tract
51003011302,3,Average,"Census Tract 113.02, Albemarle County, Virginia",tract
51003011303,3,Average,"Census Tract 113.03, Albemarle County, Virginia",tract
51003010300,4,High,"Census Tract 103, Albemarle County, Virginia",tract
51003011100,4,High,"Census Tract 111, Albemarle County, Virginia",tract
51003010700,4,High,"Census Tract 107, Albemarle County, Virginia",tract
51003010201,4,High,"Census Tract 102.01, Albemarle County, Virginia",tract
51003010602,4,High,"Census Tract 106.02, Albemarle County, Virginia",tract
51510200202,1,Very Low,"Census Tract 2002.02, Alexandria city, Virginia",tract
51510200801,2,Low,"Census Tract 2008.01, Alexandria city, Virginia",tract
51510201500,2,Low,"Census Tract 2015, Alexandria city, Virginia",tract
51510201802,2,Low,"Census Tract 2018.02, Alexandria city, Virginia",tract
51510202001,2,Low,"Census Tract 2020.01, Alexandria city, Virginia",tract
51510202002,2,Low,"Census Tract 2020.02, Alexandria city, Virginia",tract
51510200106,2,Low,"Census Tract 2001.06, Alexandria city, Virginia",tract
51510200201,3,Average,"Census Tract 2002.01, Alexandria city, Virginia",tract
51510200600,3,Average,"Census Tract 2006, Alexandria city, Virginia",tract
51510200802,3,Average,"Census Tract 2008.02, Alexandria city, Virginia",tract
51510200900,3,Average,"Census Tract 2009, Alexandria city, Virginia",tract
51510201100,3,Average,"Census Tract 2011, Alexandria city, Virginia",tract
51510201400,3,Average,"Census Tract 2014, Alexandria city, Virginia",tract
51510201801,3,Average,"Census Tract 2018.01, Alexandria city, Virginia",tract
51510201900,3,Average,"Census Tract 2019, Alexandria city, Virginia",tract
51510200703,3,Average,"Census Tract 2007.03, Alexandria city, Virginia",tract
51510200102,4,High,"Census Tract 2001.02, Alexandria city, Virginia",tract
51510200104,4,High,"Census Tract 2001.04, Alexandria city, Virginia",tract
51510200302,4,High,"Census Tract 2003.02, Alexandria city, Virginia",tract
51510200303,4,High,"Census Tract 2003.03, Alexandria city, Virginia",tract
51510201202,4,High,"Census Tract 2012.02, Alexandria city, Virginia",tract
51510201203,4,High,"Census Tract 2012.03, Alexandria city, Virginia",tract
51510201204,4,High,"Census Tract 2012.04, Alexandria city, Virginia",tract
51510201300,4,High,"Census Tract 2013, Alexandria city, Virginia",tract
51510201600,4,High,"Census Tract 2016, Alexandria city, Virginia",tract
51510200103,4,High,"Census Tract 2001.03, Alexandria city, Virginia",tract
51510200407,4,High,"Census Tract 2004.07, Alexandria city, Virginia",tract
51510200702,4,High,"Census Tract 2007.02, Alexandria city, Virginia",tract
51510200105,5,Very High,"Census Tract 2001.05, Alexandria city, Virginia",tract
51510200301,5,Very High,"Census Tract 2003.01, Alexandria city, Virginia",tract
51510200500,5,Very High,"Census Tract 2005, Alexandria city, Virginia",tract
51510201000,5,Very High,"Census Tract 2010, Alexandria city, Virginia",tract
51510200107,5,Very High,"Census Tract 2001.07, Alexandria city, Virginia",tract
51510200405,5,Very High,"Census Tract 2004.05, Alexandria city, Virginia",tract
51510200406,5,Very High,"Census Tract 2004.06, Alexandria city, Virginia",tract
51510200701,5,Very High,"Census Tract 2007.01, Alexandria city, Virginia",tract
51510200404,5,Very High,"Census Tract 2004.04, Alexandria city, Virginia",tract
51510200403,5,Very High,"Census Tract 2004.03, Alexandria city, Virginia",tract
51005080100,1,Very Low,"Census Tract 801, Alleghany County, Virginia",tract
51005080201,1,Very Low,"Census Tract 802.01, Alleghany County, Virginia",tract
51005080202,1,Very Low,"Census Tract 802.02, Alleghany County, Virginia",tract
51005080302,1,Very Low,"Census Tract 803.02, Alleghany County, Virginia",tract
51005070100,1,Very Low,"Census Tract 701, Alleghany County, Virginia",tract
51005080301,2,Low,"Census Tract 803.01, Alleghany County, Virginia",tract
51007930100,2,Low,"Census Tract 9301, Amelia County, Virginia",tract
51007930200,2,Low,"Census Tract 9302, Amelia County, Virginia",tract
51009010200,1,Very Low,"Census Tract 102, Amherst County, Virginia",tract
51009010401,2,Low,"Census Tract 104.01, Amherst County, Virginia",tract
51009010600,2,Low,"Census Tract 106, Amherst County, Virginia",tract
51009010503,3,Average,"Census Tract 105.03, Amherst County, Virginia",tract
51009010504,3,Average,"Census Tract 105.04, Amherst County, Virginia",tract
51009010100,3,Average,"Census Tract 101, Amherst County, Virginia",tract
51009010300,3,Average,"Census Tract 103, Amherst County, Virginia",tract
51009010402,4,High,"Census Tract 104.02, Amherst County, Virginia",tract
51009010502,5,Very High,"Census Tract 105.02, Amherst County, Virginia",tract
51011040300,1,Very Low,"Census Tract 403, Appomattox County, Virginia",tract
51011040100,1,Very Low,"Census Tract 401, Appomattox County, Virginia",tract
51011040200,2,Low,"Census Tract 402, Appomattox County, Virginia",tract
51013100300,1,Very Low,"Census Tract 1003, Arlington County, Virginia",tract
51013100400,1,Very Low,"Census Tract 1004, Arlington County, Virginia",tract
51013102100,1,Very Low,"Census Tract 1021, Arlington County, Virginia",tract
51013100600,1,Very Low,"Census Tract 1006, Arlington County, Virginia",tract
51013100200,2,Low,"Census Tract 1002, Arlington County, Virginia",tract
51013100900,2,Low,"Census Tract 1009, Arlington County, Virginia",tract
51013100800,2,Low,"Census Tract 1008, Arlington County, Virginia",tract
51013101200,2,Low,"Census Tract 1012, Arlington County, Virginia",tract
51013100500,2,Low,"Census Tract 1005, Arlington County, Virginia",tract
51013103700,2,Low,"Census Tract 1037, Arlington County, Virginia",tract
51013101603,2,Low,"Census Tract 1016.03, Arlington County, Virginia",tract
51013102003,2,Low,"Census Tract 1020.03, Arlington County, Virginia",tract
51013100100,3,Average,"Census Tract 1001, Arlington County, Virginia",tract
51013102200,3,Average,"Census Tract 1022, Arlington County, Virginia",tract
51013101500,3,Average,"Census Tract 1015, Arlington County, Virginia",tract
51013100700,3,Average,"Census Tract 1007, Arlington County, Virginia",tract
51013103100,3,Average,"Census Tract 1031, Arlington County, Virginia",tract
51013101000,3,Average,"Census Tract 1010, Arlington County, Virginia",tract
51013101300,3,Average,"Census Tract 1013, Arlington County, Virginia",tract
51013102301,3,Average,"Census Tract 1023.01, Arlington County, Virginia",tract
51013101702,3,Average,"Census Tract 1017.02, Arlington County, Virginia",tract
51013101100,4,High,"Census Tract 1011, Arlington County, Virginia",tract
51013103800,4,High,"Census Tract 1038, Arlington County, Virginia",tract
51013101900,4,High,"Census Tract 1019, Arlington County, Virginia",tract
51013102400,4,High,"Census Tract 1024, Arlington County, Virginia",tract
51013102600,4,High,"Census Tract 1026, Arlington County, Virginia",tract
51013102500,4,High,"Census Tract 1025, Arlington County, Virginia",tract
51013103300,4,High,"Census Tract 1033, Arlington County, Virginia",tract
51013103402,4,High,"Census Tract 1034.02, Arlington County, Virginia",tract
51013102001,4,High,"Census Tract 1020.01, Arlington County, Virginia",tract
51013102302,4,High,"Census Tract 1023.02, Arlington County, Virginia",tract
51013101803,4,High,"Census Tract 1018.03, Arlington County, Virginia",tract
51013101703,4,High,"Census Tract 1017.03, Arlington County, Virginia",tract
51013102801,4,High,"Census Tract 1028.01, Arlington County, Virginia",tract
51013102701,4,High,"Census Tract 1027.01, Arlington County, Virginia",tract
51013101701,4,High,"Census Tract 1017.01, Arlington County, Virginia",tract
51013103000,5,Very High,"Census Tract 1030, Arlington County, Virginia",tract
51013103401,5,Very High,"Census Tract 1034.01, Arlington County, Virginia",tract
51013103200,5,Very High,"Census Tract 1032, Arlington County, Virginia",tract
51013101601,5,Very High,"Census Tract 1016.01, Arlington County, Virginia",tract
51013101401,5,Very High,"Census Tract 1014.01, Arlington County, Virginia",tract
51013101404,5,Very High,"Census Tract 1014.04, Arlington County, Virginia",tract
51013101403,5,Very High,"Census Tract 1014.03, Arlington County, Virginia",tract
51013101402,5,Very High,"Census Tract 1014.02, Arlington County, Virginia",tract
51013102002,5,Very High,"Census Tract 1020.02, Arlington County, Virginia",tract
