geoid,access_care_quintile,access_care_level,region_name,region_type
51041100814,4,High,"Census Tract 1008.14, Chesterfield County, Virginia",tract
51041100816,4,High,"Census Tract 1008.16, Chesterfield County, Virginia",tract
51041100505,4,High,"Census Tract 1005.05, Chesterfield County, Virginia",tract
51041100924,4,High,"Census Tract 1009.24, Chesterfield County, Virginia",tract
51041100806,4,High,"Census Tract 1008.06, Chesterfield County, Virginia",tract
51041100815,4,High,"Census Tract 1008.15, Chesterfield County, Virginia",tract
51041100404,4,High,"Census Tract 1004.04, Chesterfield County, Virginia",tract
51041100509,4,High,"Census Tract 1005.09, Chesterfield County, Virginia",tract
51041100822,4,High,"Census Tract 1008.22, Chesterfield County, Virginia",tract
51041101010,4,High,"Census Tract 1010.10, Chesterfield County, Virginia",tract
51041100823,4,High,"Census Tract 1008.23, Chesterfield County, Virginia",tract
51041100508,4,High,"Census Tract 1005.08, Chesterfield County, Virginia",tract
51041100819,4,High,"Census Tract 1008.19, Chesterfield County, Virginia",tract
51041100936,4,High,"Census Tract 1009.36, Chesterfield County, Virginia",tract
51041100935,4,High,"Census Tract 1009.35, Chesterfield County, Virginia",tract
51041100410,4,High,"Census Tract 1004.10, Chesterfield County, Virginia",tract
51041100409,4,High,"Census Tract 1004.09, Chesterfield County, Virginia",tract
51041100510,4,High,"Census Tract 1005.10, Chesterfield County, Virginia",tract
51041100507,4,High,"Census Tract 1005.07, Chesterfield County, Virginia",tract
51041100820,4,High,"Census Tract 1008.20, Chesterfield County, Virginia",tract
51041100928,4,High,"Census Tract 1009.28, Chesterfield County, Virginia",tract
51041101003,4,High,"Census Tract 1010.03, Chesterfield County, Virginia",tract
51041100407,4,High,"Census Tract 1004.07, Chesterfield County, Virginia",tract
51041100804,4,High,"Census Tract 1008.04, Chesterfield County, Virginia",tract
51041100205,4,High,"Census Tract 1002.05, Chesterfield County, Virginia",tract
51041100106,4,High,"Census Tract 1001.06, Chesterfield County, Virginia",tract
51041100403,4,High,"Census Tract 1004.03, Chesterfield County, Virginia",tract
51041100805,4,High,"Census Tract 1008.05, Chesterfield County, Virginia",tract
51041100702,4,High,"Census Tract 1007.02, Chesterfield County, Virginia",tract
51041100600,4,High,"Census Tract 1006, Chesterfield County, Virginia",tract
51041100817,4,High,"Census Tract 1008.17, Chesterfield County, Virginia",tract
51041100506,4,High,"Census Tract 1005.06, Chesterfield County, Virginia",tract
51041100807,4,High,"Census Tract 1008.07, Chesterfield County, Virginia",tract
51041100703,4,High,"Census Tract 1007.03, Chesterfield County, Virginia",tract
51041100405,4,High,"Census Tract 1004.05, Chesterfield County, Virginia",tract
51041101004,5,Very High,"Census Tract 1010.04, Chesterfield County, Virginia",tract
51041100921,5,Very High,"Census Tract 1009.21, Chesterfield County, Virginia",tract
51041100812,5,Very High,"Census Tract 1008.12, Chesterfield County, Virginia",tract
51041101008,5,Very High,"Census Tract 1010.08, Chesterfield County, Virginia",tract
51041100931,5,Very High,"Census Tract 1009.31, Chesterfield County, Virginia",tract
51041100932,5,Very High,"Census Tract 1009.32, Chesterfield County, Virginia",tract
51041100922,5,Very High,"Census Tract 1009.22, Chesterfield County, Virginia",tract
51041100915,5,Very High,"Census Tract 1009.15, Chesterfield County, Virginia",tract
51041100930,5,Very High,"Census Tract 1009.30, Chesterfield County, Virginia",tract
51041100107,5,Very High,"Census Tract 1001.07, Chesterfield County, Virginia",tract
51041100923,5,Very High,"Census Tract 1009.23, Chesterfield County, Virginia",tract
51041100920,5,Very High,"Census Tract 1009.20, Chesterfield County, Virginia",tract
51041100210,5,Very High,"Census Tract 1002.10, Chesterfield County, Virginia",tract
51041100209,5,Very High,"Census Tract 1002.09, Chesterfield County, Virginia",tract
51041100821,5,Very High,"Census Tract 1008.21, Chesterfield County, Virginia",tract
51041101011,5,Very High,"Census Tract 1010.11, Chesterfield County, Virginia",tract
51041101012,5,Very High,"Census Tract 1010.12, Chesterfield County, Virginia",tract
51041100933,5,Very High,"Census Tract 1009.33, Chesterfield County, Virginia",tract
51041100934,5,Very High,"Census Tract 1009.34, Chesterfield County, Virginia",tract
51041100818,5,Very High,"Census Tract 1008.18, Chesterfield County, Virginia",tract
51041101013,5,Very High,"Census Tract 1010.13, Chesterfield County, Virginia",tract
51041101009,5,Very High,"Census Tract 1010.09, Chesterfield County, Virginia",tract
51041100910,5,Very High,"Census Tract 1009.10, Chesterfield County, Virginia",tract
51041100912,5,Very High,"Census Tract 1009.12, Chesterfield County, Virginia",tract
51041100927,5,Very High,"Census Tract 1009.27, Chesterfield County, Virginia",tract
51041100929,5,Very High,"Census Tract 1009.29, Chesterfield County, Virginia",tract
51041100907,5,Very High,"Census Tract 1009.07, Chesterfield County, Virginia",tract
51041100208,5,Very High,"Census Tract 1002.08, Chesterfield County, Virginia",tract
51041101007,5,Very High,"Census Tract 1010.07, Chesterfield County, Virginia",tract
51041100206,5,Very High,"Census Tract 1002.06, Chesterfield County, Virginia",tract
51041100902,5,Very High,"Census Tract 1009.02, Chesterfield County, Virginia",tract
51041100919,5,Very High,"Census Tract 1009.19, Chesterfield County, Virginia",tract
51043010100,3,Average,"Census Tract 101, Clarke County, Virginia",tract
51043010200,3,Average,"Census Tract 102, Clarke County, Virginia",tract
51043010300,5,Very High,"Census Tract 103, Clarke County, Virginia",tract
51570830100,4,High,"Census Tract 8301, Colonial Heights city, Virginia",tract
51570830200,4,High,"Census Tract 8302, Colonial Heights city, Virginia",tract
51570830300,4,High,"Census Tract 8303, Colonial Heights city, Virginia",tract
51570830400,4,High,"Census Tract 8304, Colonial Heights city, Virginia",tract
51570830500,4,High,"Census Tract 8305, Colonial Heights city, Virginia",tract
51580060100,1,Very Low,"Census Tract 601, Covington city, Virginia",tract
51580060200,1,Very Low,"Census Tract 602, Covington city, Virginia",tract
51045050100,5,Very High,"Census Tract 501, Craig County, Virginia",tract
51047930300,1,Very Low,"Census Tract 9303, Culpeper County, Virginia",tract
51047930400,1,Very Low,"Census Tract 9304, Culpeper County, Virginia",tract
51047930202,1,Very Low,"Census Tract 9302.02, Culpeper County, Virginia",tract
51047930102,1,Very Low,"Census Tract 9301.02, Culpeper County, Virginia",tract
51047930501,1,Very Low,"Census Tract 9305.01, Culpeper County, Virginia",tract
51047930201,1,Very Low,"Census Tract 9302.01, Culpeper County, Virginia",tract
51047930502,1,Very Low,"Census Tract 9305.02, Culpeper County, Virginia",tract
51047930101,1,Very Low,"Census Tract 9301.01, Culpeper County, Virginia",tract
51049930200,1,Very Low,"Census Tract 9302, Cumberland County, Virginia",tract
