"geoid","region_type","region_name","measure","value","year","measure_type"
"110010001001","block group","Block Group 1, Census Tract 1, District of Columbia","ped_pop_cnt",222,2021,"count"
"110010001002","block group","Block Group 2, Census Tract 1, District of Columbia","ped_pop_cnt",191,2021,"count"
"110010001003","block group","Block Group 3, Census Tract 1, District of Columbia","ped_pop_cnt",180,2021,"count"
"110010001004","block group","Block Group 4, Census Tract 1, District of Columbia","ped_pop_cnt",29,2021,"count"
"110010002011","block group","Block Group 1, Census Tract 2.01, District of Columbia","ped_pop_cnt",67,2021,"count"
"110010002021","block group","Block Group 1, Census Tract 2.02, District of Columbia","ped_pop_cnt",220,2021,"count"
"110010002022","block group","Block Group 2, Census Tract 2.02, District of Columbia","ped_pop_cnt",77,2021,"count"
"110010002023","block group","Block Group 3, Census Tract 2.02, District of Columbia","ped_pop_cnt",23,2021,"count"
"110010002024","block group","Block Group 4, Census Tract 2.02, District of Columbia","ped_pop_cnt",27,2021,"count"
"110010003001","block group","Block Group 1, Census Tract 3, District of Columbia","ped_pop_cnt",261,2021,"count"
"110010003002","block group","Block Group 2, Census Tract 3, District of Columbia","ped_pop_cnt",103,2021,"count"
"110010003003","block group","Block Group 3, Census Tract 3, District of Columbia","ped_pop_cnt",117,2021,"count"
"110010003004","block group","Block Group 4, Census Tract 3, District of Columbia","ped_pop_cnt",544,2021,"count"
"110010004001","block group","Block Group 1, Census Tract 4, District of Columbia","ped_pop_cnt",139,2021,"count"
"110010004002","block group","Block Group 2, Census Tract 4, District of Columbia","ped_pop_cnt",105,2021,"count"
"110010005011","block group","Block Group 1, Census Tract 5.01, District of Columbia","ped_pop_cnt",103,2021,"count"
"110010005012","block group","Block Group 2, Census Tract 5.01, District of Columbia","ped_pop_cnt",314,2021,"count"
"110010005021","block group","Block Group 1, Census Tract 5.02, District of Columbia","ped_pop_cnt",333,2021,"count"
"110010005022","block group","Block Group 2, Census Tract 5.02, District of Columbia","ped_pop_cnt",133,2021,"count"
"110010006001","block group","Block Group 1, Census Tract 6, District of Columbia","ped_pop_cnt",143,2021,"count"
"110010006002","block group","Block Group 2, Census Tract 6, District of Columbia","ped_pop_cnt",225,2021,"count"
"110010006003","block group","Block Group 3, Census Tract 6, District of Columbia","ped_pop_cnt",170,2021,"count"
"110010006004","block group","Block Group 4, Census Tract 6, District of Columbia","ped_pop_cnt",199,2021,"count"
"110010007011","block group","Block Group 1, Census Tract 7.01, District of Columbia","ped_pop_cnt",136,2021,"count"
"110010007012","block group","Block Group 2, Census Tract 7.01, District of Columbia","ped_pop_cnt",99,2021,"count"
"110010007013","block group","Block Group 3, Census Tract 7.01, District of Columbia","ped_pop_cnt",51,2021,"count"
"110010007014","block group","Block Group 4, Census Tract 7.01, District of Columbia","ped_pop_cnt",261,2021,"count"
"110010007021","block group","Block Group 1, Census Tract 7.02, District of Columbia","ped_pop_cnt",95,2021,"count"
"110010007022","block group","Block Group 2, Census Tract 7.02, District of Columbia","ped_pop_cnt",0,2021,"count"
"110010007023","block group","Block Group 3, Census Tract 7.02, District of Columbia","ped_pop_cnt",24,2021,"count"
"110010008011","block group","Block Group 1, Census Tract 8.01, District of Columbia","ped_pop_cnt",48,2021,"count"
"110010008012","block group","Block Group 2, Census Tract 8.01, District of Columbia","ped_pop_cnt",360,2021,"count"
